,Validity,hydralic_efficiency(-),Hemolysis_ratio(-),gap_width(mm),volute_constructor_parameter(-),volsp,outer_disk_radius(mm),inner_disk_radius(mm)
98,1,0.1651597751807366,2.1755628549e-06,0.7323500242848273,0.6254998006310146,1.525,25.0,5.0
99,0,0.0,0.0,0.9374194651634704,0.1536412173661885,0.35234375,25.0,5.0
100,1,0.3334544977560996,5.818560073e-07,1.225,0.2454631333415188,1.7328125,25.0,5.0
101,1,0.2330577337683271,1.9989450599e-06,1.525,0.0954743669122387,0.4265625,25.0,5.0
102,0,0.0,0.0,1.8000000000000005,0.6795168166695855,0.2260078657558485,25.0,5.0
103,1,0.2677433730341092,8.198353705e-07,1.725,0.39265625,1.1390625,25.0,5.0
104,1,0.263205820839411,9.801203611e-07,0.6647527884094384,0.447110422817351,1.573553872451503,25.0,5.0
105,0,0.0,0.0,1.8676490953032572,0.0904226019442385,0.8273437499999999,25.0,5.0
106,1,0.2486234273956399,9.185997613e-07,1.8074135710136503,0.41734375,0.9609375,25.0,5.0
107,1,0.3430140040420587,4.926193069e-07,0.910844467034468,0.3309375,1.584375,25.0,5.0
108,1,0.3344745422034232,6.38218514e-07,0.9854130077841492,0.36796875,1.7925725028038362,25.0,5.0
109,1,0.3426232941674437,5.24430823e-07,1.0,0.30625,1.3068152858910735,25.0,5.0
110,1,0.4486844624195327,4.717876122e-07,0.4312324613544779,0.176640625,0.35234375,25.0,5.0
111,1,0.3241439077749135,5.26634129e-07,0.756455735866894,0.3491019080667019,1.839780139594676,25.0,5.0
112,1,0.1011745497295429,3.4684782048e-06,0.75,0.656424335590165,0.278125,25.0,5.0
113,1,0.2534617324970169,8.353545285e-07,1.855251330540738,0.2559908302011985,1.543028156588778,25.0,5.0
114,1,0.3049885615751888,6.246709894e-07,1.2587173014717012,0.30625,1.2875,25.0,5.0
115,1,0.167994644055997,1.6015877712e-06,1.8000000000000005,0.70125,0.3375,25.0,5.0
116,1,0.3154785924289218,6.152915732e-07,1.225,0.24453125,1.7328125,25.0,5.0
