,Validity,hydralic_efficiency(-),Hemolysis_ratio(-),gap_width(mm),inner_disk_radius(mm),outer_disk_radius(mm),volute_constructor_parameter(-),volsp
165,1,0.2249167269271546,2.3794111825e-06,0.7396019901193795,7.109375,19.6484375,0.5222656250000001,0.50078125
166,1,0.1762324511835481,1.1850393898e-06,0.5625,13.200240440630653,47.90841091046392,0.5616503036268956,0.47109375
167,0,0.0,0.0,1.1,10.64124467395744,22.245076673927056,0.0721872342387644,1.64375
168,1,0.3979624620418201,4.839711804e-07,0.9792330152202736,9.421824468652435,41.399464888432,0.0868282525261218,1.5959789122637915
169,1,0.1149110716537344,2.492213449e-06,0.7957669847797266,12.5,46.02241011141544,0.6121220403446623,0.575
170,1,0.3187546226421969,4.346122025e-07,0.9161277767021982,12.421875,42.6171875,0.2991104665188312,1.6125118442044737
171,1,0.459943093891538,2.344938635e-07,0.7050171524724336,11.015625,45.3515625,0.164296875,1.1406131557638477
172,1,0.310567328093845,1.2497035531e-06,1.1083380466163448,6.53470917842635,19.139912971230828,0.448203125,1.98515625
173,1,0.2719898548042844,6.953169982e-07,1.4541619533836387,12.918456960251023,43.40492789072913,0.34328125,0.6046874999999999
174,1,0.2939718033869377,5.343464997e-07,1.7625000000000002,10.703125,32.76264111306591,0.238359375,1.896122429323868
175,1,0.3650704962647136,3.258501034e-07,1.175,13.28125,39.899905538097755,0.19515625,1.910908820676132
176,1,0.2808113676196362,6.001558703e-07,1.2318563890654155,14.609375,46.131011417760874,0.324765625,0.9804020127431754
177,1,0.2646268601930618,7.128340881e-07,1.5170869338883677,6.09375,22.14684485371806,0.4115740859342526,1.6094417368152196
178,1,0.2417746216223767,1.1865048887e-06,1.25,10.836907092460704,29.21875,0.4517522942482092,0.4827752287973625
179,1,0.2518204013458743,7.144397611e-07,1.5750000000000002,7.002741343602732,41.796875,0.4293866729094583,0.993787271236078
180,1,0.2861248093038595,5.550413754e-07,1.7260635188052402,9.84375,34.140625,0.31859375,1.5369984237833798
181,1,0.2052656626773235,1.111353521e-06,0.8625,13.217892983848,37.6953125,0.4852343750000001,1.3794078262166205
182,1,0.263754078422561,6.825499478e-07,1.4496742349380332,10.0,40.6527437316814,0.3936801406940133,1.0940549267676138
183,1,0.1411203960094191,2.3877850257e-06,1.1980984765612115,13.79551370687167,33.12062765686976,0.6755385989527396,1.020268925645426
184,0,0.0,0.0,0.5625,13.203125,48.97259239623368,0.040859375,1.8928991136793631
185,1,0.2870825640498801,6.788882284e-07,1.7625000000000002,10.703125,42.81966007578235,0.238359375,0.4733077388380984
186,1,0.2222920835380459,9.172842391e-07,1.6873789928046317,11.594388919655357,28.671875,0.4897205500371869,1.280906999674691
187,1,0.2399966601629117,9.276737866e-07,1.7751210071953685,14.53363217658087,32.31934418193153,0.3511388249628132,0.7307022219953334
188,1,0.2774933528588505,6.580538274e-07,1.3137500067590675,13.515625,36.6015625,0.361796875,0.64921875
189,1,0.4070469931674907,7.412560409e-07,0.6780695577539589,9.21875,23.203125,0.26921875,1.9703125
190,1,0.129221158493267,2.2740895764e-06,1.5,13.125,29.915559993913426,0.7222803522954625,0.21875
191,1,0.1848916241356491,1.1047124801e-06,1.85,9.0625,42.740689973031856,0.4790625000000001,0.278125
192,0,0.0,0.0,1.5660077120854867,10.142498436258297,25.260006168163365,0.695078125,0.127625428951972
193,1,0.3905885824413334,3.541239557e-07,0.8964922872931519,7.435626563757971,30.716556331836635,0.24453125,0.8421875
194,1,0.2497022552879856,1.5274277317e-06,1.6625,6.823641683069068,45.23004141492528,0.090234375,0.58984375
195,1,0.0,0.0,1.9625,10.006794080483655,19.22381536547184,0.337109375,1.65859375
196,1,0.1468715618861999,2.6568573436e-06,1.125,8.464562085561061,29.765625,0.61484375,0.1890625
197,1,0.3526522354932989,4.800542842e-07,1.0375,5.234375,30.5859375,0.176640625,1.56953125
198,1,0.3578455348192555,5.027304574e-07,0.5,14.375,45.78910817548167,0.256875,1.40625
199,1,0.2526156415349759,8.122451258e-07,1.4,6.25,34.52339023405629,0.4618566597657986,1.2875
200,1,0.3095249604187246,5.724919315e-07,1.1586343874878104,5.327272215298716,34.236005659573635,0.34328125,0.6096533763865516
201,1,0.3031998576473795,1.0512260888e-06,1.2375,14.453181201798802,26.2109375,0.275390625,0.3770653736134825
202,0,0.0,0.0,1.7784241428354717,14.438190789500903,47.00826167402813,0.1343189029765611,1.27265625
203,1,0.2389857152873581,7.564566953e-07,1.3585593983883382,9.009479231767562,49.252389933838046,0.4095728738565325,1.584375
204,1,0.4547215981759923,4.659122946e-07,0.5,14.491611846364275,32.509006576424625,0.1245489236952184,1.67721625831443
205,1,0.2739421949993064,6.761260129e-07,1.3137500067590675,13.420747175129057,36.54545009415318,0.3680523844143314,0.64921875
206,1,0.4230506420174505,5.937771167e-07,0.6185710857870548,5.916063154266837,32.51458788542745,0.12059432386311,0.3375
207,1,0.3466835608417058,4.789719371e-07,1.15,11.054845861582438,44.11707265913885,0.2321875,0.6021950015485374
208,1,0.2822641408765975,6.028817491e-07,1.2318563890654155,13.257084544382861,49.779454589854566,0.3088620429383535,1.0062545480051557
209,1,0.3665436022595812,3.351578907e-07,1.175,13.28125,39.87696462497411,0.1881924546114038,1.9256455026500647
210,1,0.3553464016347289,4.623275982e-07,0.8728980098806205,14.484440376399581,30.859375,0.2444971351496156,0.8421875
211,1,0.3938983135122629,4.307697361e-07,0.5,10.21289712429563,34.6875,0.2569091148503845,1.2980254740069723
212,1,0.3095888650713807,3.740137239e-07,1.8163862578888057,10.865172158473602,49.543980680257604,0.2062777118922876,1.900255412052941
213,1,0.339092872164943,5.604409261e-07,1.178735950729645,13.277315215530622,39.899905538097755,0.19515625,0.560272073793532
214,1,0.307083677477565,1.0893590261e-06,1.2142880935880052,13.984375,25.160147172336337,0.2668020988260991,0.38203125
215,1,0.2894276686331007,8.865085112e-07,1.9425493370726048,5.625,40.78682073623023,0.158125,0.69375
216,1,0.429781556461199,2.741375275e-07,0.8770898786072343,10.998825352812537,45.3515625,0.164296875,1.12421875
217,1,0.3558206178428794,3.702828953e-07,0.9104101213927658,10.162747484717087,30.859375,0.235551358610984,0.8421875
